,name,NaN Count
508,leasing_contracts__vehiclegroup61__end,202
509,leasing_contracts__vehiclegroup61__start,202
510,leasing_contracts__vehiclegroup62__end,153
511,leasing_contracts__vehiclegroup62__start,153
512,leasing_contracts__vehiclegroup63__end,116
513,leasing_contracts__vehiclegroup63__start,116
514,leasing_contracts__vehiclegroup64__end,210
515,leasing_contracts__vehiclegroup64__start,210
516,premises__vehiclegroup49__flag_production_start,259
517,premises__vehiclegroup49__in_production,259
518,premises__vehiclegroup52__flag_production_start,259
519,premises__vehiclegroup52__in_production,259
520,premises__vehiclegroup55__flag_production_start,259
521,premises__vehiclegroup55__in_production,259
522,premises__vehiclegroup61__flag_order_start,259
523,premises__vehiclegroup61__in_sales,259
524,quota__vehiclegroup01__aq,71
525,quota__vehiclegroup02__aq,80
526,quota__vehiclegroup03__aq,72
527,quota__vehiclegroup04__aq,85
528,quota__vehiclegroup05__aq,171
529,quota__vehiclegroup06__aq,118
530,quota__vehiclegroup07__aq,82
531,quota__vehiclegroup08__aq,80
532,quota__vehiclegroup09__aq,208
533,quota__vehiclegroup10__aq,95
534,quota__vehiclegroup11__aq,211
535,quota__vehiclegroup12__aq,88
536,quota__vehiclegroup13__aq,83
537,quota__vehiclegroup14__aq,136
538,quota__vehiclegroup15__aq,72
539,quota__vehiclegroup16__aq,106
540,quota__vehiclegroup17__aq,76
541,quota__vehiclegroup18__aq,77
542,quota__vehiclegroup19__aq,80
543,quota__vehiclegroup20__aq,199
544,quota__vehiclegroup21__aq,172
545,quota__vehiclegroup22__aq,184
546,quota__vehiclegroup23__aq,137
547,quota__vehiclegroup24__aq,121
548,quota__vehiclegroup25__aq,124
549,quota__vehiclegroup26__aq,82
550,quota__vehiclegroup27__aq,199
551,quota__vehiclegroup28__aq,86
552,quota__vehiclegroup29__aq,208
553,quota__vehiclegroup30__aq,95
554,quota__vehiclegroup31__aq,196
555,quota__vehiclegroup32__aq,211
556,quota__vehiclegroup33__aq,98
557,quota__vehiclegroup34__aq,83
558,quota__vehiclegroup35__aq,197
559,quota__vehiclegroup36__aq,136
560,quota__vehiclegroup37__aq,75
561,quota__vehiclegroup38__aq,106
562,quota__vehiclegroup39__aq,112
563,quota__vehiclegroup40__aq,156
564,quota__vehiclegroup41__aq,233
565,quota__vehiclegroup42__aq,160
566,quota__vehiclegroup43__aq,83
567,quota__vehiclegroup44__aq,204
568,quota__vehiclegroup45__aq,181
569,quota__vehiclegroup46__aq,74
570,quota__vehiclegroup47__aq,239
571,quota__vehiclegroup48__aq,199
572,quota__vehiclegroup49__aq,259
573,quota__vehiclegroup50__aq,210
574,quota__vehiclegroup51__aq,173
575,quota__vehiclegroup52__aq,259
576,quota__vehiclegroup53__aq,210
577,quota__vehiclegroup54__aq,184
578,quota__vehiclegroup55__aq,259
579,quota__vehiclegroup56__aq,142
580,quota__vehiclegroup57__aq,210
581,quota__vehiclegroup58__aq,214
582,quota__vehiclegroup59__aq,176
583,quota__vehiclegroup60__aq,132
584,quota__vehiclegroup61__aq,244
585,quota__vehiclegroup62__aq,199
586,quota__vehiclegroup63__aq,124
587,quota__vehiclegroup64__aq,220
588,global_economy__bop_cap_account_bal_us__u_s_dollar,259
589,global_economy__bop_current_account_balance_us__u_s_dollar,259
590,global_economy__bop_direct_investment_asset_debit_capital_outflow_us__u_s_dollar,259
591,global_economy__bop_direct_investment_balance_or_net_fdi_net_capital_inflow_us__u_s_dollar,259
592,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_us__u_s_dollar,259
593,global_economy__bop_factor_service_balance_net_foreign_investment_income_us__u_s_dollar,259
594,global_economy__bop_factor_service_exports_and_credits_investment_income_receipts_from_the_rest_of_the_world_us__u_s_dollar,259
595,global_economy__bop_factor_service_imports_and_debits_investment_income_payments_to_the_rest_of_the_world_us__u_s_dollar,259
596,global_economy__bop_financial_account_balance_us__u_s_dollar,259
597,global_economy__bop_non_factor_service_balance_us__u_s_dollar,259
598,global_economy__bop_non_factor_service_exports_us__u_s_dollar,259
599,global_economy__bop_non_factor_service_imports_us__u_s_dollar,259
600,global_economy__bop_other_investment_asset_debit_capital_outflow_us__u_s_dollar,259
601,global_economy__bop_other_investment_liability_credit_capital_inflow_us__u_s_dollar,259
602,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_us__u_s_dollar,259
603,global_economy__bop_portfolio_investment_balance_net_capital_inflow_us__u_s_dollar,259
604,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_us__u_s_dollar,259
605,global_economy__bop_transfer_payments_balance_us__u_s_dollar,259
606,global_economy__bop_transfer_payments_credit_us__u_s_dollar,259
607,global_economy__bop_transfer_payments_debit_us__u_s_dollar,259
608,global_economy__international_reserves_lcu__u_s_dollar,259
609,global_economy__net_personal_saving_rate_personal_saving_as_a_of_disposable_income__forecast,259
610,global_economy__personal_saving_household_saving_euro__forecast_billion_euros_synthetic_euros_prior_to_1999,259
611,global_economy__personal_saving_household_saving_lcu__forecast_billion,259
612,global_economy__personal_saving_household_saving_us__forecast_billion,259
613,global_economy__real_exchange_rate_with_japan_japanese_prices_per_local_prices__japanese_yen,259
614,global_economy__real_exchange_rate_with_us_us_prices_per_local_prices__u_s_dollar,259
615,global_economy__wholesale_producer_price_index_lcu_basus__index,259
616,registrations__porschesegment_boxster_cayman,241
617,registrations__porschesegment_panamera,241
618,registrations__porschesegment_w_o_porsche_segment,241
619,registrations__porschesegment_cayenne,241
620,registrations__porschesegment_taycan,241
621,registrations__porschesegment_911,241
622,registrations__porschesegment_macan,241
623,registrations__volkswagensegment_volumen,241
624,registrations__volkswagensegment_premium,241
625,registrations__volkswagensegment_budget,241
626,registrations__volkswagensegment_x,241
627,registrations__volkswagensegment_luxus,241
628,registrations__vwm_premium_mercedes_benz,241
629,registrations__vwm_premium_bmw,241
630,registrations__vwm_premium_audi,241
631,registrations__vwm_premium_lexus,241
632,registrations__vwm_premium_volvo,241
633,registrations__vwm_premium_land_rover,241
634,registrations__vwm_premium_porsche,241
635,registrations__vwm_premium_mini,241
636,registrations__vwm_premium_acura,241
637,registrations__vwm_premium_infiniti,241
638,registrations__vwm_luxus_maserati,259
639,registrations__vwm_luxus_bentley,241
640,registrations__vwm_luxus_ferrari,241
641,registrations__vwm_luxus_lamborghini,241
642,registrations__vwm_luxus_aston_martin,241
643,registrations__vwm_luxus_rolls_royce,241
644,registrations__vwm_luxus_mclaren,259
645,registrations__vwm_luxus_alpina,259
646,registrations__fueltype_hybrid,241
647,registrations__fueltype_diesel,241
648,registrations__fueltype_benzin,241
649,registrations__fueltype_electro,241
650,registrations__buildtype_suv,241
651,registrations__buildtype_transport,241
652,registrations__buildtype_van,241
653,registrations__buildtype_cabrio,241
654,registrations__buildtype_stufenheck,241
655,registrations__buildtype_kurzheck,241
656,registrations__buildtype_other,241
657,registrations__buildtype_pickup,241
658,registrations__buildtype_coupe,241
659,registrations__buildtype_kombi,241
