,name,NaN Count
114,sales_flow_monthly__vehiclegroup25__cp8,148
115,sales_flow_monthly__vehiclegroup26__cp8,147
116,sales_flow_monthly__vehiclegroup27__cp8,184
117,sales_flow_monthly__vehiclegroup28__cp8,147
118,sales_flow_monthly__vehiclegroup29__cp8,214
119,sales_flow_monthly__vehiclegroup30__cp8,155
120,sales_flow_monthly__vehiclegroup31__cp8,183
121,sales_flow_monthly__vehiclegroup32__cp8,208
122,sales_flow_monthly__vehiclegroup33__cp8,155
123,sales_flow_monthly__vehiclegroup34__cp8,147
124,sales_flow_monthly__vehiclegroup35__cp8,185
125,sales_flow_monthly__vehiclegroup36__cp8,162
126,sales_flow_monthly__vehiclegroup37__cp8,147
127,sales_flow_monthly__vehiclegroup38__cp8,150
128,sales_flow_monthly__vehiclegroup39__cp8,171
129,sales_flow_monthly__vehiclegroup40__cp8,184
130,sales_flow_monthly__vehiclegroup41__cp8,221
131,sales_flow_monthly__vehiclegroup42__cp8,169
132,sales_flow_monthly__vehiclegroup43__cp8,149
133,sales_flow_monthly__vehiclegroup44__cp8,195
134,sales_flow_monthly__vehiclegroup45__cp8,190
135,sales_flow_monthly__vehiclegroup46__cp8,149
136,sales_flow_monthly__vehiclegroup47__cp8,235
137,sales_flow_monthly__vehiclegroup48__cp8,195
138,sales_flow_monthly__vehiclegroup50__cp8,197
139,sales_flow_monthly__vehiclegroup51__cp8,167
140,sales_flow_monthly__vehiclegroup53__cp8,200
141,sales_flow_monthly__vehiclegroup54__cp8,168
142,sales_flow_monthly__vehiclegroup56__cp8,148
143,sales_flow_monthly__vehiclegroup57__cp8,207
144,sales_flow_monthly__vehiclegroup58__cp8,201
145,sales_flow_monthly__vehiclegroup59__cp8,164
146,sales_flow_monthly__vehiclegroup60__cp8,149
147,sales_flow_monthly__vehiclegroup61__cp8,231
148,sales_flow_monthly__vehiclegroup62__cp8,200
149,sales_flow_monthly__vehiclegroup63__cp8,148
150,sales_flow_monthly__vehiclegroup64__cp8,206
151,sales_stock_monthly__vehiclegroup01__physical,157
152,sales_stock_monthly__vehiclegroup01__grossall,157
153,sales_stock_monthly__vehiclegroup01__netimporteranddealer,157
154,sales_stock_monthly__vehiclegroup02__physical,157
155,sales_stock_monthly__vehiclegroup02__grossall,157
156,sales_stock_monthly__vehiclegroup02__netimporteranddealer,157
157,sales_stock_monthly__vehiclegroup03__physical,157
158,sales_stock_monthly__vehiclegroup03__grossall,157
159,sales_stock_monthly__vehiclegroup03__netimporteranddealer,157
160,sales_stock_monthly__vehiclegroup04__physical,157
161,sales_stock_monthly__vehiclegroup04__grossall,157
162,sales_stock_monthly__vehiclegroup04__netimporteranddealer,157
163,sales_stock_monthly__vehiclegroup05__physical,165
164,sales_stock_monthly__vehiclegroup05__grossall,165
165,sales_stock_monthly__vehiclegroup05__netimporteranddealer,165
166,sales_stock_monthly__vehiclegroup06__physical,157
167,sales_stock_monthly__vehiclegroup06__grossall,157
168,sales_stock_monthly__vehiclegroup06__netimporteranddealer,157
169,sales_stock_monthly__vehiclegroup07__physical,157
170,sales_stock_monthly__vehiclegroup07__grossall,157
171,sales_stock_monthly__vehiclegroup07__netimporteranddealer,157
